date,symbol,market,interval,close,return_1d,vol_7d,max_dd_30d,volume_base,value_traded,trades_count
2025-08-14,ADAUSDC,SPOT,1h,0.9264,,,,93275279.9,84970349.69709,200326
2025-08-15,ADAUSDC,SPOT,1h,0.9458,0.020941278065630398,,,423117659.0,397926594.43562,648506
2025-08-16,ADAUSDC,SPOT,1h,0.9216,-0.025586804821315257,,,131989313.3,123332354.17048,318582
2025-08-17,ADAUSDC,SPOT,1h,0.9615,0.04329427083333348,0.03514048322127656,,134777190.2,129019227.90103,350445
2025-08-18,ADAUSDC,SPOT,1h,0.924,-0.03900156006240252,0.03868120199139621,-0.03900156006240252,169029936.3,155490672.77077,389201
2025-08-19,ADAUSDC,SPOT,1h,0.8464,-0.08398268398268394,0.050297448196357765,-0.11970878835153409,220249287.1,198488760.90188,478968
2025-08-20,ADAUSDC,SPOT,1h,0.8811,0.04099716446124768,0.05081251964690222,-0.11970878835153409,170639457.5,147086439.93821,333714
2025-08-21,ADAUSDC,SPOT,1h,0.8516,-0.03348087617750539,0.047435109585701844,-0.11970878835153409,77616496.8,67261495.76799,192952
2025-08-22,ADAUSDC,SPOT,1h,0.9311,0.09335368717707837,0.061396477320935616,-0.11970878835153409,209875984.7,187614534.67571998,310317
2025-08-23,ADAUSDC,SPOT,1h,0.914,-0.018365374288475955,0.06096639716007169,-0.11970878835153409,94988491.6,86939573.76460001,172434
2025-08-24,ADAUSDC,SPOT,1h,0.9088,-0.005689277899343481,0.057959763820631484,-0.11970878835153409,181403196.4,166087974.0252,267723
2025-08-25,ADAUSDC,SPOT,1h,0.8372,-0.07878521126760563,0.06336546992983877,-0.12927717108684345,179631957.4,156552034.2949,307059
2025-08-26,ADAUSDC,SPOT,1h,0.8668,0.03535594839942657,0.056545294841139786,-0.12927717108684345,128383934.0,109009048.6311,239848
2025-08-27,ADAUSDC,SPOT,1h,0.8509,-0.018343331795108497,0.05462437186422398,-0.12927717108684345,111090287.3,96070690.77355,197342
2025-08-28,ADAUSDC,SPOT,1h,0.8578,0.008109060994241357,0.05308645296400154,-0.12927717108684345,99787866.2,85834688.48136,162787
2025-08-29,ADAUSDC,SPOT,1h,0.8267,-0.03625553742131038,0.035795228932303906,-0.14019760790431623,156700922.2,129934768.50983,219000
2025-08-30,ADAUSDC,SPOT,1h,0.8226,-0.004959477440425797,0.03602308168527515,-0.14446177847113884,65245914.9,53744053.113409996,97539
2025-08-31,ADAUSDC,SPOT,1h,0.8116,-0.013372234378798975,0.035831157793173286,-0.15590223608944365,50919738.3,42077218.95415,77965
2025-09-01,ADAUSDC,SPOT,1h,0.8015,-0.012444553967471683,0.022635146356456134,-0.16640665626625073,129989427.6,106031923.19175,185539
2025-09-02,ADAUSDC,SPOT,1h,0.8351,0.04192139737991263,0.024677650137180318,-0.16640665626625073,121014006.7,98985615.96235,161332
2025-09-03,ADAUSDC,SPOT,1h,0.8369,0.002155430487366772,0.024045319756567842,-0.16640665626625073,72780586.7,60829084.40231,98292
2025-09-04,ADAUSDC,SPOT,1h,0.8093,-0.03297885051977534,0.026062284905763785,-0.16640665626625073,88821687.1,72603583.59536,99179
2025-09-05,ADAUSDC,SPOT,1h,0.8307,0.026442604720128493,0.02549708738023746,-0.16640665626625073,146136741.1,121423637.71475,168753
2025-09-06,ADAUSDC,SPOT,1h,0.8187,-0.01444564824846517,0.026109281037914364,-0.16640665626625073,44904850.3,36997778.11003,71526
2025-09-07,ADAUSDC,SPOT,1h,0.8351,0.02003175766459009,0.026391903942020484,-0.16640665626625073,65931460.0,54724212.876040004,91624
2025-09-08,ADAUSDC,SPOT,1h,0.8652,0.03604358759430015,0.02757575815586192,-0.16640665626625073,145885145.0,124608521.7413,179096
2025-09-09,ADAUSDC,SPOT,1h,0.8654,0.0002311604253351085,0.02415203385909083,-0.16640665626625073,171181975.2,149357063.42459,239237
2025-09-10,ADAUSDC,SPOT,1h,0.8857,0.023457360758031065,0.025008625936314855,-0.16640665626625073,139430644.8,122929236.38484,195657
2025-09-11,ADAUSDC,SPOT,1h,0.8943,0.009709834029581144,0.017233603467727447,-0.16640665626625073,119853866.9,106036989.39233,176267
2025-09-12,ADAUSDC,SPOT,1h,0.9178,0.02627753550262768,0.01721463422724153,-0.16640665626625073,112816880.1,101780671.80894,199192
2025-09-13,ADAUSDC,SPOT,1h,0.9301,0.013401612551754205,0.011776976740375412,-0.16640665626625073,157334583.9,147004084.27776,265350
2025-09-14,ADAUSDC,SPOT,1h,0.8883,-0.0449414041500914,0.026599282637573936,-0.16640665626625073,99179329.5,89505983.90807,197532
2025-09-15,ADAUSDC,SPOT,1h,0.8636,-0.027805921422942692,0.02679420856607879,-0.16640665626625073,136390112.7,118678671.76361999,205067
2025-09-16,ADAUSDC,SPOT,1h,0.8806,0.019685039370078705,0.027806249396876564,-0.16640665626625073,90588936.4,78720199.59256001,145181
2025-09-17,ADAUSDC,SPOT,1h,0.9141,0.038042243924596875,0.030064538496070946,-0.16640665626625073,120187513.6,105607616.27586,231568
2025-09-18,ADAUSDC,SPOT,1h,0.9247,0.011596105458921313,0.030123127140134782,-0.16640665626625073,116596542.2,107305713.12594,222912
2025-09-19,ADAUSDC,SPOT,1h,0.891,-0.03644425218989933,0.032067117231585986,-0.16640665626625073,124792697.8,113193998.83033,235309
2025-09-20,ADAUSDC,SPOT,1h,0.8936,0.0029180695847361715,0.03136807295512229,-0.16640665626625073,54004729.1,48420267.12491,137156
2025-09-21,ADAUSDC,SPOT,1h,0.8847,-0.009959713518352675,0.02638715924046563,-0.16640665626625073,58188611.2,51745713.0137,135008
2025-09-22,ADAUSDC,SPOT,1h,0.8265,-0.06578501186843,0.03536658744590773,-0.16640665626625073,186459562.3,155260480.74427,346979
2025-09-23,ADAUSDC,SPOT,1h,0.8063,-0.024440411373260695,0.03399221964946875,-0.16640665626625073,104243862.10000001,85401678.79062,193519
2025-09-24,ADAUSDC,SPOT,1h,0.8132,0.008557608830460195,0.028066612470889582,-0.16640665626625073,89086029.1,72530661.78129,160108
2025-09-25,ADAUSDC,SPOT,1h,0.7642,-0.060255779636005924,0.02930851279882125,-0.2052002080083204,175242575.9,137169403.89236,278446
2025-09-26,ADAUSDC,SPOT,1h,0.7924,0.03690133472912849,0.03720297296339749,-0.2052002080083204,100558080.0,78171619.47707,178091
2025-09-27,ADAUSDC,SPOT,1h,0.7815,-0.013755678950025274,0.036312280070534365,-0.2052002080083204,38509784.2,30234670.71186,71704
2025-09-28,ADAUSDC,SPOT,1h,0.8089,0.03506078055022388,0.04164924062983943,-0.2052002080083204,55522414.5,43513732.96636,113762
2025-09-29,ADAUSDC,SPOT,1h,0.8065,-0.002966992211645425,0.034224546889144315,-0.2052002080083204,72295450.3,58137119.32647,147667
2025-09-30,ADAUSDC,SPOT,1h,0.8075,0.001239925604463732,0.03289187324390639,-0.2052002080083204,87626082.8,69742716.85834,173017
2025-10-01,ADAUSDC,SPOT,1h,0.8513,0.0542414860681113,0.038728985889251694,-0.2052002080083204,94024026.0,77987675.47272,172517
2025-10-02,ADAUSDC,SPOT,1h,0.8713,0.023493480559144908,0.02487050796513341,-0.2052002080083204,102804612.9,88330249.11253001,193379
2025-10-03,ADAUSDC,SPOT,1h,0.8661,-0.005968093653161977,0.02505505096889291,-0.2052002080083204,126959957.6,109896156.60104999,211490
2025-10-04,ADAUSDC,SPOT,1h,0.8399,-0.030250548435515556,0.02853078417295352,-0.2052002080083204,64019450.2,54181639.56448,107539
2025-10-05,ADAUSDC,SPOT,1h,0.8376,-0.002738421240623845,0.026666228508264146,-0.2052002080083204,109868407.0,94194712.31125,179567
2025-10-06,ADAUSDC,SPOT,1h,0.872,0.04106972301814715,0.029442717736935405,-0.2052002080083204,93050486.2,80078001.7681,144377
2025-10-07,ADAUSDC,SPOT,1h,0.8203,-0.05928899082568806,0.03998712741428942,-0.2052002080083204,150722042.9,127033030.52609,273399
2025-10-08,ADAUSDC,SPOT,1h,0.8391,0.022918444471534682,0.03469093271433135,-0.2052002080083204,86984066.9,71879283.02556,166157
2025-10-09,ADAUSDC,SPOT,1h,0.8157,-0.027887021809081092,0.03393952374111652,-0.2052002080083204,92813364.0,75233165.97201,170271
2025-10-10,ADAUSDC,SPOT,1h,0.6364,-0.21981120509991425,0.08647067630446473,-0.3381175247009881,301934115.6,211344737.40377,753621
2025-10-11,ADAUSDC,SPOT,1h,0.6323,-0.006442489000628493,0.08735545812524818,-0.3423816952678107,135441152.9,87706245.86499,294852
2025-10-12,ADAUSDC,SPOT,1h,0.7006,0.10801834572196745,0.10301623264773747,-0.3423816952678107,149179576.9,99774992.81489,284039
2025-10-13,ADAUSDC,SPOT,1h,0.7293,0.040964887239508974,0.10300584719738272,-0.3423816952678107,84340112.8,60356373.40897,155223
2025-10-14,ADAUSDC,SPOT,1h,0.6994,-0.04099821746880561,0.10207735617452515,-0.3423816952678107,105418346.9,72673876.72209,166156
